prediction_group,n,mean_predicted_probability,mean_time_in_hospital,mean_num_lab_procedures,mean_num_procedures,mean_num_medications,mean_number_outpatient,mean_number_emergency,mean_number_inpatient,mean_number_diagnoses,most_common_age,most_common_gender,most_common_race,most_common_insulin,most_common_diabetesMed,most_common_discharge_disposition_id
false_negative,1037,0.08621117978833921,4.217936354869817,43.556412729026036,1.2912246865959498,15.514946962391514,0.3124397299903568,0.1128254580520733,0.15814850530376084,7.395371263259402,[70-80),Female,Caucasian,No,Yes,1
false_positive,5195,0.18127088625122917,5.366313763233879,46.30952839268527,1.237536092396535,17.968623676612125,0.5495668912415784,0.38556304138594805,1.628873917228104,8.089509143407122,[70-80),Female,Caucasian,No,Yes,1
true_negative,12888,0.07656078608166192,3.9513500931098697,41.59574798261949,1.4141061452513966,15.082169459962756,0.27894165114835506,0.08030726256983241,0.1340006207324643,7.099705152079454,[70-80),Female,Caucasian,No,Yes,1
true_positive,1234,0.20861750022947126,5.2957860615883305,45.053484602917344,1.186385737439222,18.120745542949756,0.5591572123176661,0.5559157212317666,2.107779578606159,8.007293354943274,[70-80),Female,Caucasian,No,Yes,1
