feature,mean_abs_shap
categorical__glipizide_No,0.0049988176
categorical__diag_3_244,0.004878429
categorical__glipizide_Steady,0.004522528
categorical__payer_code_MC,0.004519498
categorical__diag_3_530,0.0045108595
categorical__diag_2_996,0.0043399674
categorical__age_[30-40),0.0040268386
categorical__metformin_No,0.0039341543
categorical__diag_1_511,0.0038176854
categorical__diag_3_V45,0.003629923
categorical__pioglitazone_Up,0.003367391
categorical__payer_code_UN,0.0033558107
categorical__diag_2_276,0.003337288
categorical__diag_2_486,0.0032737236
categorical__diag_2_571,0.0029925907
categorical__glimepiride_Down,0.0028858574
categorical__race_AfricanAmerican,0.0028271887
categorical__diag_1_404,0.0027882971
categorical__payer_code_MD,0.002776061
categorical__race_Caucasian,0.002679764
categorical__diag_2_427,0.0026365612
categorical__A1Cresult_Norm,0.0026195892
categorical__insulin_Steady,0.002532098
categorical__diag_1_724,0.0024561405
categorical__insulin_Up,0.002369263
categorical__rosiglitazone_No,0.0023680518
categorical__diag_1_592,0.0022598002
categorical__payer_code_SP,0.0019954992
categorical__diag_1_535,0.0015928206
categorical__diag_1_414,0.0014284188
categorical__diag_1_599,0.0010795011
categorical__diag_1_276,0.0009793943
categorical__pioglitazone_No,0.0008717552
categorical__diag_2_707,0.0007321954
categorical__payer_code_CM,0.00069658237
categorical__glimepiride_No,0.0005576008
categorical__diag_3_496,0.0004802221
categorical__diag_1_219,0.0
categorical__diag_1_217,0.0
categorical__diag_1_216,0.0
categorical__diag_1_215,0.0
categorical__diag_1_214,0.0
categorical__diag_1_212,0.0
categorical__diag_1_211,0.0
categorical__diag_1_210,0.0
categorical__diag_1_208,0.0
categorical__diag_1_250.1,0.0
categorical__diag_1_250.01,0.0
categorical__diag_1_250,0.0
categorical__diag_1_246,0.0
categorical__diag_1_245,0.0
categorical__diag_1_244,0.0
categorical__diag_1_242,0.0
categorical__diag_1_241,0.0
categorical__diag_1_240,0.0
categorical__diag_1_238,0.0
categorical__diag_1_237,0.0
categorical__diag_1_236,0.0
categorical__diag_1_235,0.0
categorical__diag_1_233,0.0
categorical__diag_1_230,0.0
categorical__diag_1_23,0.0
categorical__diag_1_250.52,0.0
categorical__diag_1_250.51,0.0
categorical__diag_1_250.5,0.0
categorical__diag_1_250.43,0.0
categorical__diag_1_250.42,0.0
categorical__diag_1_250.4,0.0
categorical__diag_1_250.33,0.0
categorical__diag_1_250.32,0.0
categorical__diag_1_250.31,0.0
categorical__diag_1_250.3,0.0
categorical__diag_1_250.23,0.0
categorical__diag_1_250.22,0.0
categorical__diag_1_250.21,0.0
categorical__diag_1_250.13,0.0
categorical__diag_1_250.12,0.0
categorical__diag_1_250.11,0.0
categorical__diag_1_196,0.0
categorical__diag_1_195,0.0
categorical__diag_1_194,0.0
categorical__diag_1_193,0.0
categorical__diag_1_192,0.0
categorical__diag_1_191,0.0
categorical__diag_1_189,0.0
categorical__diag_1_188,0.0
categorical__diag_1_187,0.0
categorical__diag_1_185,0.0
categorical__diag_1_184,0.0
categorical__diag_1_183,0.0
categorical__diag_1_182,0.0
categorical__diag_1_180,0.0
categorical__diag_1_179,0.0
categorical__diag_1_175,0.0
categorical__diag_1_263,0.0
categorical__diag_1_262,0.0
categorical__diag_1_261,0.0
categorical__diag_1_255,0.0
categorical__diag_1_253,0.0
categorical__diag_1_252,0.0
categorical__diag_1_251,0.0
categorical__diag_1_250.93,0.0
categorical__diag_1_250.92,0.0
categorical__diag_1_250.91,0.0
categorical__diag_1_250.9,0.0
categorical__diag_1_250.83,0.0
categorical__diag_1_250.82,0.0
categorical__diag_1_250.81,0.0
categorical__diag_1_250.8,0.0
categorical__diag_1_250.53,0.0
categorical__diag_1_284,0.0
categorical__diag_1_283,0.0
categorical__diag_1_282,0.0
categorical__diag_1_281,0.0
categorical__diag_1_280,0.0
categorical__diag_1_279,0.0
categorical__diag_1_278,0.0
categorical__diag_1_277,0.0
categorical__diag_1_275,0.0
categorical__diag_1_274,0.0
categorical__diag_1_273,0.0
categorical__diag_1_272,0.0
categorical__diag_1_271,0.0
categorical__diag_1_27,0.0
categorical__diag_1_266,0.0
categorical__diag_1_301,0.0
categorical__diag_1_300,0.0
categorical__diag_1_3,0.0
categorical__diag_1_298,0.0
categorical__diag_1_297,0.0
categorical__diag_1_296,0.0
categorical__diag_1_295,0.0
categorical__diag_1_294,0.0
categorical__diag_1_293,0.0
categorical__diag_1_292,0.0
categorical__diag_1_291,0.0
categorical__diag_1_290,0.0
categorical__diag_1_289,0.0
categorical__diag_1_288,0.0
categorical__diag_1_286,0.0
categorical__diag_1_285,0.0
categorical__diag_1_324,0.0
categorical__diag_1_323,0.0
categorical__diag_1_320,0.0
categorical__diag_1_318,0.0
categorical__diag_1_314,0.0
