model,holdout_roc_auc,holdout_pr_auc,precision_threshold_0_50,recall_threshold_0_50,f1_threshold_0_50,brier_score_uncalibrated
XGBoost,0.6795472527931713,0.2313187568569539,0.17862576064908722,0.6204315279612506,0.27738950684122454,0.223789244890213
Random Forest,0.6734584324013253,0.2204427411029848,0.18717504332755633,0.523117569352708,0.27570201902993735,0.21690157567568452
Logistic Regression,0.6593981619029412,0.21218054053480745,0.1722625736604084,0.5535006605019815,0.26275083612040134,0.22726943683623685
